18868_4132_x11881_y6094,MOp,L5
18457_00144,VPM,
15257_4021_x16401_y21556,MOs,
pre_18464_00168,BST,
17545_00006,CP,
18869_00020,PSV,
236174_3447_x12562_y10626,CLA,
18465_00264,CP,
17300_5571_x27063_y39610,VISa,L5
18453_7813_x5799_y12199,ENTl,L2/3
18864_4429_x7945_y3080,SSs,L2/3
18455_00260,VPM,
18465_00057,LGd,
18458_00267,LGd,
18455_00182,CP,
18868_4739_x28536_y7468,SSp-bfd,L5
18453_3767_x22604_y5643,MOp,L2/3
18465_00140,LGd,
18465_00312,MG,
18465_00079,VPM,
18867_4336_x10280_y7972,SSp-m,L5
pre_18864_00424,MOp,
18464_00127,VPM,
182724_2670_x5615_y13225,MOs,
18457_00145,VPM,
18455_5898_x14920_y13352,VPLpc,
18464_00045,VPM,
18455_00146,VPM,
18458_00584,VPM,
18458_00450,MG,
18454_00092,CP,
17109_2401_x9954_y9122,AId,L6
18868_3488_x24952_y7321,MOp,L5
191807_2729_x3750_y9965,MOs,
18465_00083,VPM,
18463_00052,VPL,
17302_00040,LGd,
18864_1917_x3417_y12763,MOs,L2/3
18868_4883_x27078_y6285,SSp-bfd,L5
18868_4517_x31548_y11591,SSs,L5
18867_3469_x10058_y10954,MOp,L5
18864_5692_x8806_y3272,AUDd,L5
18453_3492_x29357_y9198,SSp-m,L4
18453_3021_x27493_y8943,MOp,L2/3
236174_3429_x12632_y10625,CLA,
18454_01122,VPM,
18454_01100,VPM,
18454_00101,SMT,
191812_5676_x8072_y26215,SSs,
18868_3507_x7704_y10476,SSp-m,L5
18457_00026,VPM,
236174_3729_x12692_y9419,CLA,
18464_00061,CP,
18465_00132,VPM,
pre_18864_00039,VISpm,
18458_00550,VPM,
236174_3970_x13439_y8678,CLA,
18454_00148,VPL,
236174_3229_x11884_y10380,AId,L6
pre_18465_00369,DG,
18454_01101,VPM,
17302_00002,CP,
17302_00025,MD,
18869_4727_x9851_y8415,RT,
18868_3627_x28035_y8749,SSp-m,L5
18454_01096,VPM,
18465_00081,VPM,
18464_00080,MG,
18867_4768_x26326_y6150,SSp-ul,L5
17545_00147,CP,
18454_01123,VPM,
18457_00053,VPM,
17545_00174,LGd,
17545_00067,CP,
pre_18864_00286,MOp,
18457_00029,VPM,
18465_00207,ACB,
236174_3729_x13645_y9551,CLA,
18458_00585,VM,
18457_00143,VPM,
17302_00091,CP,
18465_00159,CP,
18454_00170,MG,
18868_4803_x7002_y8311,SSp-n,L5
18453_6229_x34471_y10482,AUDv,
18453_4693_x33039_y11636,SSs,L2/3
18454_00093,CP,
18454_01006,VPL,
18465_00109,LGd,
18464_00046,VPM,
18455_00011,CP,
17545_00179,LGd,
18457_00041,CP,
pre_18458_00351,CA1,
17302_00118,LGd,
18464_00198,LP,
18457_00111,VM,
17302_00081,CP,
236174_7077_x14579_y30892,TEa,L6
18867_5665_x20882_y6561,RSPv,L5
17543_3828_x6023_y17044,SSp-ll,L4
18869_4036_x8032_y4635,SSp-ul,L5
18457_00103,CP,
182724_3887_x5901_y10339,SSp-ul,
18453_5941_x24629_y3152,VISam,L2/3
17302_00120,LGd,
18868_3547_x28065_y9077,SSp-m,L5
18458_00244,LGd,
17302_00123,CP,
18454_00146,VPM,
18454_00139,VPM,
18463_00067,VPM,
18457_00010,VPM,
18455_5730_x15780_y13638,VPM,
18454_01049,VPM,
17545_00082,MG,
pre_18864_00051,SSp-ul,
18864_5099_x6368_y29941,SSp-bfd,L2/3
18454_00167,VPL,
18453_4386_x31552_y9254,SSp-n,L4
18458_00445,VPM,
18465_00111,LGd,
17302_00013,CP,
18454_00163,VPL,
17543_3471_x12087_y3637,VISC,L5
17545_00071,VAL,
18455_00127,CM,
18465_00056,LGd,
18868_3875_x8707_y8341,SSp-m,L5
18453_2632_x11687_y8383,MOs,L2/3
18869_3659_x21701_y7032,SSp-m,L5
18463_00051,CP,
18458_00542,VPM,
18465_00261,VPM,
17302_00005,CP,
18465_00006,CP,
18867_3807_x9130_y11820,SSp-m,L5
18453_3350_x8925_y9653,SSp-m,L4
18465_00031,CP,
17302_00097,CP,
18869_4469_x21852_y5924,SSp-n,L5
18454_00095,CM,
17545_00136,CP,
18455_00210,VPM,
18465_00136,LGd,
18463_00075,CP,
18867_4605_x30309_y8068,SSp-n,L5
18465_00033,CP,
18454_00016,CP,
18457_00005,CP,
18869_5444_x13271_y3998,RSPv,L5
18868_3931_x26823_y7496,SSp-ul,L5
18462_00049,CP,
17302_00085,CP,
18458_00075,LD,
191801_4180_x7440_y5386,SSp-m,L2/3
18464_00128,VPM,
18454_00086,CP,
18457_00073,VPM,
18868_3009_x28076_y11485,MOp,L5
pre_18464_00163,CP,
18457_00123,VPL,
18465_00133,VPM,
17781_2491_x13559_y38398,GU,L6
18464_00196,LP,
17545_00053,CP,
17302_00036,MG,
18453_4711_x14090_y3943,SSp-ll,L2/3
17545_00122,CP,
17302_00099,CP,
17300_3426_x20339_y44872,SSs,L5
18455_00224,CP,
18465_00113,LGd,
18454_01119,VPM,
18454_00140,VPM,
191812_3915_x8011_y24180,SSp-m,
18455_00200,VPM,
18453_6746_x8555_y4741,VISl,L2/3
18869_4662_x10221_y8547,RT,
17545_00155,CP,
18462_00060,VPLpc,
18869_6854_x10735_y2978,VISp,L5
182724_5355_x5321_y20589,SSp-ll,L6
191807_5031_x5620_y23074,SSp-n,
17302_00102,CP,
17545_00143,CP,
18867_4533_x14227_y15937,CP,
18462_00019,VPM,
18453_5667_x25695_y3103,VISam,L2/3
18869_3701_x7703_y4993,SSp-m,L5
18869_4050_x21764_y6239,SSp-m,L5
18457_00062,VPM,
191807_5178_x5002_y23078,SSp-bfd,
18864_6821_x5144_y6844,VISp,L4
17302_00047,CP,
18464_00082,CP,
18454_00135,VPM,
18462_00007,CP,
18458_00578,VPM,
18454_00145,VPM,
18868_5686_x9887_y5415,SSp-bfd,L5
18455_00152,VPL,
18047_2622_x11862_y12983,MOs,L5
18454_00107,VPM,
18455_00048,VPM,
18453_4221_x16935_y5165,MOp,L2/3
18465_00054,DG,
18458_00281,VPM,
18869_3937_x5000_y8198,SSp-m,L5
18453_3704_x10450_y7387,SSp-m,L4
17109_2401_x9695_y9693,CLA,
18455_00199,VPM,
236174_3529_x13394_y26567,SSp-m,L6
18463_00062,MG,
191812_6084_x5026_y7787,SSp-bfd,
17781_5166_x11993_y10858,SSs,L6
18868_4706_x15828_y16760,RT,
18454_01043,VPM,
18453_3848_x19057_y7025,ACAv,L2/3
18869_4091_x4807_y8065,SSs,L5
18453_7146_x8788_y4552,VISp,L2/3
17786_00024,AON,
18454_00100,SMT,
18455_00121,VPM,
18463_00021,CP,
18465_00248,DG,
18462_00051,VPM,
18868_6757_x10353_y4324,VISp,L4
pre_18864_00147,SSp-bfd,
18465_00206,ACB,
18453_6748_x28152_y3578,VISp,L2/3
pre_18458_00374,DG,
